CO2Mean,GMean,H2OMean,O2Mean,Points_0,Points_1,Points_2,TMean,UMean_0,UMean_1,UMean_2,rhoMean
0.000211559,77254,0.000173202,0.232684,0.475,0.04998,0.1,342.95,-0.23322,0.0629732,0.251535,1.02545
0.000212272,77238.6,0.000173785,0.232683,0.475,0.05096,0.1,343.053,-0.231921,0.061804,0.251386,1.02514
0.000212985,77223.2,0.000174369,0.232682,0.475,0.05194,0.1,343.157,-0.230622,0.0606347,0.251238,1.02483
0.000213697,77207.7,0.000174952,0.232681,0.475,0.05292,0.1,343.26,-0.229324,0.0594655,0.251089,1.02452
0.00021441,77192.3,0.000175535,0.23268,0.475,0.0539,0.1,343.364,-0.228025,0.0582962,0.250941,1.02421
0.000215122,77176.9,0.000176119,0.232679,0.475,0.05488,0.1,343.467,-0.226726,0.057127,0.250792,1.0239
0.000215835,77161.5,0.000176702,0.232678,0.475,0.05586,0.1,343.571,-0.225428,0.0559578,0.250644,1.02359
0.000216548,77146,0.000177286,0.232677,0.475,0.05684,0.1,343.674,-0.224129,0.0547885,0.250495,1.02329
0.00021726,77130.6,0.000177869,0.232676,0.475,0.05782,0.1,343.778,-0.222831,0.0536193,0.250347,1.02298
0.000217973,77115.2,0.000178453,0.232675,0.475,0.0588,0.1,343.881,-0.221532,0.05245,0.250198,1.02267
0.000218686,77099.8,0.000179036,0.232673,0.475,0.05978,0.1,343.985,-0.220233,0.0512808,0.25005,1.02236
0.000219398,77084.4,0.00017962,0.232672,0.475,0.06076,0.1,344.088,-0.218935,0.0501116,0.249901,1.02205
0.000220111,77068.9,0.000180203,0.232671,0.475,0.06174,0.1,344.192,-0.217636,0.0489423,0.249752,1.02174
0.000220824,77053.5,0.000180786,0.23267,0.475,0.06272,0.1,344.295,-0.216338,0.0477731,0.249604,1.02143
0.000221536,77038.1,0.00018137,0.232669,0.475,0.0637,0.1,344.398,-0.215039,0.0466039,0.249455,1.02112
0.000222175,77021.8,0.000181893,0.232668,0.475,0.06468,0.1,344.492,-0.213646,0.0457173,0.249422,1.02084
0.000222711,77015.5,0.000182331,0.232667,0.475,0.06566,0.1,344.564,-0.212103,0.0447517,0.24998,1.02062
0.000223246,77009.3,0.00018277,0.232666,0.475,0.06664,0.1,344.636,-0.21056,0.043786,0.250539,1.02041
0.000223782,77003.1,0.000183208,0.232666,0.475,0.06762,0.1,344.707,-0.209017,0.0428204,0.251097,1.0202
0.000224318,76996.8,0.000183647,0.232665,0.475,0.0686,0.1,344.779,-0.207474,0.0418547,0.251656,1.01999
0.000224853,76990.6,0.000184085,0.232664,0.475,0.06958,0.1,344.85,-0.205931,0.0408891,0.252214,1.01978
0.000225389,76984.3,0.000184524,0.232663,0.475,0.07056,0.1,344.922,-0.204388,0.0399234,0.252773,1.01957
0.000225925,76978.1,0.000184963,0.232662,0.475,0.07154,0.1,344.994,-0.202844,0.0389578,0.253331,1.01936
0.00022646,76971.8,0.000185401,0.232662,0.475,0.07252,0.1,345.065,-0.201301,0.0379921,0.25389,1.01915
0.000226996,76965.6,0.00018584,0.232661,0.475,0.0735,0.1,345.137,-0.199758,0.0370265,0.254448,1.01893
0.000227532,76959.4,0.000186278,0.23266,0.475,0.07448,0.1,345.209,-0.198215,0.0360608,0.255007,1.01872
0.000228067,76953.1,0.000186717,0.232659,0.475,0.07546,0.1,345.28,-0.196672,0.0350952,0.255565,1.01851
0.000228603,76946.9,0.000187155,0.232658,0.475,0.07644,0.1,345.352,-0.195129,0.0341295,0.256124,1.0183
0.000229139,76940.6,0.000187594,0.232657,0.475,0.07742,0.1,345.424,-0.193586,0.0331639,0.256682,1.01809
0.000229674,76934.4,0.000188033,0.232657,0.475,0.0784,0.1,345.495,-0.192043,0.0321982,0.257241,1.01788
0.00023021,76928.1,0.000188471,0.232656,0.475,0.07938,0.1,345.567,-0.1905,0.0312326,0.257799,1.01767
0.000230746,76921.9,0.00018891,0.232655,0.475,0.08036,0.1,345.639,-0.188957,0.0302669,0.258358,1.01746
0.000231281,76915.7,0.000189348,0.232654,0.475,0.08134,0.1,345.71,-0.187414,0.0293013,0.258916,1.01724
0.000231817,76909.4,0.000189787,0.232653,0.475,0.08232,0.1,345.782,-0.185871,0.0283356,0.259475,1.01703
0.000232353,76903.2,0.000190225,0.232652,0.475,0.0833,0.1,345.854,-0.184328,0.02737,0.260033,1.01682
0.000232888,76896.9,0.000190664,0.232652,0.475,0.08428,0.1,345.925,-0.182785,0.0264043,0.260592,1.01661
0.000233424,76890.7,0.000191102,0.232651,0.475,0.08526,0.1,345.997,-0.181241,0.0254387,0.26115,1.0164
0.00023396,76884.4,0.000191541,0.23265,0.475,0.08624,0.1,346.069,-0.179698,0.024473,0.261709,1.01619
0.000234495,76878.2,0.00019198,0.232649,0.475,0.08722,0.1,346.14,-0.178155,0.0235073,0.262267,1.01598
0.000235031,76872,0.000192418,0.232648,0.475,0.0882,0.1,346.212,-0.176612,0.0225417,0.262826,1.01577
0.000235567,76865.7,0.000192857,0.232648,0.475,0.08918,0.1,346.283,-0.175069,0.021576,0.263384,1.01555
0.000236083,76854.6,0.000193279,0.232647,0.475,0.09016,0.1,346.357,-0.173337,0.0208019,0.263844,1.01534
0.000236606,76862.4,0.000193707,0.232646,0.475,0.09114,0.1,346.42,-0.172378,0.0203729,0.264468,1.01515
0.000237129,76871.7,0.000194136,0.232645,0.475,0.09212,0.1,346.482,-0.171483,0.0199617,0.265106,1.01497
0.000237653,76881,0.000194565,0.232644,0.475,0.0931,0.1,346.544,-0.170587,0.0195504,0.265745,1.01479
0.000238177,76890.3,0.000194994,0.232644,0.475,0.09408,0.1,346.607,-0.169692,0.0191391,0.266384,1.01461
0.000238701,76899.6,0.000195423,0.232643,0.475,0.09506,0.1,346.669,-0.168797,0.0187279,0.267023,1.01443
0.000239225,76909,0.000195852,0.232642,0.475,0.09604,0.1,346.732,-0.167901,0.0183166,0.267662,1.01425
0.000239749,76918.3,0.000196281,0.232641,0.475,0.09702,0.1,346.794,-0.167006,0.0179054,0.268301,1.01407
0.000240273,76927.6,0.00019671,0.23264,0.475,0.098,0.1,346.856,-0.166111,0.0174941,0.268939,1.01389
0.000240797,76936.9,0.000197139,0.23264,0.475,0.09898,0.1,346.919,-0.165215,0.0170828,0.269578,1.01371
0.000241321,76946.2,0.000197568,0.232639,0.475,0.09996,0.1,346.981,-0.16432,0.0166716,0.270217,1.01353
0.000241845,76955.5,0.000197997,0.232638,0.475,0.10094,0.1,347.044,-0.163425,0.0162603,0.270856,1.01335
0.000242369,76964.9,0.000198426,0.232637,0.475,0.10192,0.1,347.106,-0.162529,0.0158491,0.271495,1.01317
0.000242893,76974.2,0.000198855,0.232636,0.475,0.1029,0.1,347.168,-0.161634,0.0154378,0.272134,1.01299
0.000243417,76983.5,0.000199284,0.232635,0.475,0.10388,0.1,347.231,-0.160739,0.0150265,0.272772,1.01281
0.000243941,76992.8,0.000199713,0.232635,0.475,0.10486,0.1,347.293,-0.159843,0.0146153,0.273411,1.01263
0.000244465,77002.1,0.000200142,0.232634,0.475,0.10584,0.1,347.355,-0.158948,0.014204,0.27405,1.01245
0.000244989,77011.4,0.00020057,0.232633,0.475,0.10682,0.1,347.418,-0.158053,0.0137927,0.274689,1.01227
0.000245513,77020.7,0.000200999,0.232632,0.475,0.1078,0.1,347.48,-0.157157,0.0133815,0.275328,1.01208
